"article_id","article_title","dataset_id","source"
"10.1038/s41598-022-15440-y","Total isostatic response to the complete unloading of the Greenland and Antarctic Ice Sheets","10.18739/A2280509Z","springer"
"10.1038/s41598-022-07561-1","Earlier snowmelt may lead to late season declines in plant productivity and carbon sequestration in Arctic tundra ecosystems","10.18739/A2ZG6G80B","springer"
"10.1038/s41598-021-94788-z","Warming Arctic summers unlikely to increase productivity of shorebirds through renesting","10.18739/A23R0PT35","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2GB1XH26","springer"
"10.1007/s00300-020-02632-3","Recent change in benthic macrofaunal community composition in relation to physical forcing in the Pacific Arctic","10.18739/A2NG4GR21","springer"
"10.1038/s41467-019-11103-1","Controls of soil organic matter on soil thermal dynamics in the northern high latitudes","10.5065/D66971QC","springer"
"10.1007/s00300-020-02632-3","Recent change in benthic macrofaunal community composition in relation to physical forcing in the Pacific Arctic","10.18739/A2V11VK2K","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2H708100","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2CF9J66P","springer"
"10.1038/sdata.2017.116","A new global anthropogenic heat estimation based on high-resolution nighttime light data","10.5065/D6V40S9M","springer"
"10.1038/s41586-020-1991-8","Preindustrial ^14CH_4 indicates greater anthropogenic fossil CH_4 emissions","10.18739/A2599Z216","springer"
"10.1038/sdata.2019.37","Circumpolar permafrost maps and geohazard indices for near-future infrastructure risk assessments","10.5065/D6N014HK","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2G15TB43","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D6J964FR","springer"
"10.1007/s00300-017-2179-z","Sipunculan fauna in the Pacific Arctic region: a significant component of benthic infaunal communities","10.5065/D6H70CVR","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A20K5X","springer"
"10.1038/s41558-019-0688-1","Complexity revealed in the greening of the Arctic","10.5065/D6542KRH","springer"
"10.1038/sdata.2019.37","Circumpolar permafrost maps and geohazard indices for near-future infrastructure risk assessments","10.18739/A2D934","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A23K67","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D6P84921","springer"
"10.1007/s00300-019-02474-8","Isotope ecology detects fine-scale variation in Svalbard reindeer diet: implications for monitoring herbivory in the changing Arctic","10.18739/A27T10","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2HT2GB80","springer"
"10.1007/s10021-020-00559-8","Mechanisms of Persistent High Primary Production During the Growing Season in the Chukchi Sea","10.5065/D6RF5S30","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A21S72","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A21C7X","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D62805QS","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2MT1D","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2WD3Q190","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A2KP7TQ9P","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A2F47GT18","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A25T3FZ9D","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D64747X3","springer"
"10.1007/s00300-017-2179-z","Sipunculan fauna in the Pacific Arctic region: a significant component of benthic infaunal communities","10.5065/D60C4SVZ","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D6FF3QF3","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2985M","springer"
"10.1007/s00300-020-02781-5","Predictors of invertebrate biomass and rate of advancement of invertebrate phenology across eight sites in the North American Arctic","10.18739/A2CD5M","springer"
"10.1038/s41597-020-0490-y","CeutaOPEN, individual-based field observations of breeding snowy plovers Charadrius nivosus","10.18739/A2CD5M","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A2V698B7K","springer"
"10.1007/s10021-022-00771-8","From Intra-plant to Regional Scale: June Temperatures and Regional Climates Directly and Indirectly Control Betula nana Growth in Arctic Alaska","10.7265/N5K072F8","springer"
"10.1038/s41561-022-00938-x","Antarctic ice-shelf advance driven by anomalous atmospheric and sea-ice circulation","10.7265/N5K072F8","springer"
"10.1038/s41558-022-01339-z","Antarctic sea-ice expansion and Southern Ocean cooling linked to tropical variability","10.7265/N5K072F8","springer"
"10.1038/s41598-022-10712-z","Spinning ice floes reveal intensification of mesoscale eddies in the western Arctic Ocean","10.7265/N5K072F8","springer"
"10.1007/s00376-021-1130-y","The Predictability of Ocean Environments that Contributed to the 2020/21 Extreme Cold Events in China: 2020/21 La Niña and 2020 Arctic Sea Ice Loss","10.7265/N5K072F8","springer"
"10.1007/978-3-030-88923-4_5","Habitat Utilization and Behavior of Phocid Seals in Relation to Oceanography","10.7265/N5K072F8","springer"
"10.1007/978-3-030-88923-4_15","The Ringed Seal: Behavioral Adaptations to Seasonal Ice and Snow Cover","10.7265/N5K072F8","springer"
"10.1038/s43247-021-00329-x","Slow-down in summer warming over Greenland in the past decade linked to central Pacific El Niño","10.7265/N5K072F8","springer"
"10.1038/s41561-021-00841-x","Recent strengthening of snow and ice albedo feedback driven by Antarctic sea-ice loss","10.7265/N5K072F8","springer"
"10.1007/s00382-021-05820-x","Contributors to linkage between Arctic warming and East Asian winter climate","10.7265/N5K072F8","springer"
"10.1007/s13131-021-1768-4","Arctic sea ice concentration and thickness data assimilation in the FIO-ESM climate forecast system","10.7265/N5K072F8","springer"
"10.1038/s41561-021-00768-3","Rapid decline in Antarctic sea ice in recent years hints at future change","10.7265/N5K072F8","springer"
"10.1007/s00300-021-02868-7","Sea-ice habitat minimizes grazing impact and predation risk for larval Antarctic krill","10.7265/N5K072F8","springer"
"10.1038/s41561-021-00751-y","Open ocean and coastal new particle formation from sulfuric acid and amines around the Antarctic Peninsula","10.7265/N5K072F8","springer"
"10.1038/s41598-021-87906-4","A decadal perspective on north water microbial eukaryotes as Arctic Ocean sentinels","10.7265/N5K072F8","springer"
"10.1007/s00300-021-02825-4","Bioerosion ichnodiversity in barnacles from the Ross Sea, Antarctica","10.7265/N5K072F8","springer"
"10.1007/s00300-021-02826-3","Reduced seasonal sea ice and increased sea surface temperature change prey and foraging behaviour in an ice-obligate Arctic seabird, Mandt’s black guillemot (Cepphus grylle mandtii)","10.7265/N5K072F8","springer"
"10.1007/s11442-021-1848-6","Effect of shipping activity on warming trends in the Canadian Arctic","10.7265/N5K072F8","springer"
"10.1007/978-3-030-75405-1_2","Climate Change as a Global Threat to the World Economy","10.7265/N5K072F8","springer"
"10.1134/S1028334X21010153","Relationship of the Extent of Antarctic and Arctic Ice with Temperature Changes, 1979–2020","10.7265/N5K072F8","springer"
"10.1007/978-3-030-66680-4_9","A Story of Polar Bears and Penguins: A Paradox of Biodiversity and Climate Change","10.7265/N5K072F8","springer"
"10.1038/s41558-020-0892-z","Extremes become routine in an emerging new Arctic","10.7265/N5K072F8","springer"
"10.1038/s41467-020-19014-2","Recent fall Eurasian cooling linked to North Pacific sea surface temperatures and a strengthening Siberian high","10.7265/N5K072F8","springer"
"10.1007/s13131-020-1642-9","Exploring the Arctic Ocean under Arctic amplification","10.7265/N5K072F8","springer"
"10.1134/S0001437020040207","Phytoplankton of the St. Anna Trough: Influence of Abiotic Factors","10.7265/N5K072F8","springer"
"10.1007/s41976-020-00035-w","Recent Variability in the Arctic Ocean and Subarctic Seas","10.7265/N5K072F8","springer"
"10.1038/s41558-020-0757-5","Coldest Canadian Arctic communities face greatest reductions in shorefast sea ice","10.7265/N5K072F8","springer"
"10.1007/s00376-019-9208-5","LICOM Model Datasets for the CMIP6 Ocean Model Intercomparison Project","10.7265/N5K072F8","springer"
"10.1007/978-3-030-20389-4_11","Benthos-Pelagos Interconnectivity: Antarctic Shelf Examples","10.7265/N5K072F8","springer"
"10.1007/978-3-030-33566-3_11","Climate Change in the Arctic","10.7265/N5K072F8","springer"
"10.1007/s11802-019-4084-2","Sea Salt Sodium Record in a Shallow Ice Core from East Antarctica as a Potential Proxy of the Antarctic Sea Ice Extent in Southern Indian Ocean","10.7265/N5K072F8","springer"
"10.1038/s41396-019-0457-1","The potential of sedimentary ancient DNA for reconstructing past sea ice evolution","10.7265/N5K072F8","springer"
"10.1038/s41598-019-49586-z","Exploring the link between microseism and sea ice in Antarctica by using machine learning","10.7265/N5K072F8","springer"
"10.1038/s41598-018-37047-y","On the causes of Arctic sea ice in the warm Early Pliocene","10.7265/N5K072F8","springer"
"10.1007/s13351-018-8058-x","The CAMS Climate System Model and a Basic Evaluation of Its Climatology and Climate Variability Simulation","10.7265/N5K072F8","springer"
"10.1038/s41598-018-34824-7","Integrated Population Modeling Provides the First Empirical Estimates of Vital Rates and Abundance for Polar Bears in the Chukchi Sea","10.7265/N5K072F8","springer"
"10.1038/s41467-017-02692-w","Pteropods counter mechanical damage and dissolution through extensive shell repair","10.7265/N5K072F8","springer"
"10.1007/s13131-021-1768-4","Arctic sea ice concentration and thickness data assimilation in the FIO-ESM climate forecast system","10.5194/tc-11-1607-2017","springer"
"10.1038/s43247-021-00221-8","Record winter winds in 2020/21 drove exceptional Arctic sea ice transport","10.5194/tc-11-1607-2017","springer"
"10.1007/s11430-020-9777-9","Arctic sea ice thickness variations from CryoSat-2 satellite altimetry data","10.5194/tc-11-1607-2017","springer"
"10.1038/s43247-021-00197-5","Accelerated sea ice loss in the Wandel Sea points to a change in the Arctic’s Last Ice Area","10.5194/tc-11-1607-2017","springer"
"10.1007/s00376-019-9222-7","Influence of the Arctic on the Predictability of Eurasian Winter Extreme Weather Events","10.5194/tc-11-1607-2017","springer"
"10.1038/s41598-018-24660-0","Predictability of Arctic sea ice on weather time scales","10.5194/tc-11-1607-2017","springer"
"10.1038/s41467-020-18479-5","Summer warming explains widespread but not uniform greening in the Arctic tundra biome","10.18739/A24X0Q","springer"
"10.1038/s41558-019-0688-1","Complexity revealed in the greening of the Arctic","10.18739/A24X0Q","springer"
"10.1007/s10584-021-03294-8","Projections of North American snow from NA-CORDEX and their uncertainties, with a focus on model resolution","10.7265/N52R3PMC","springer"
"10.1038/s41467-021-25022-7","Advancement in long-distance bird migration through individual plasticity in departure","10.7265/N52R3PMC","springer"
"10.1038/s41467-018-06762-5","Influence of Tibetan Plateau snow cover on East Asian atmospheric circulation at medium-range time scales","10.7265/N52R3PMC","springer"
"10.1007/s00704-016-2020-6","Impact of the snow cover scheme on snow distribution and energy budget modeling over the Tibetan Plateau","10.7265/N52R3PMC","springer"
"10.1007/s11442-015-1230-7","Generation of daily snow depth from multi-source satellite images and in situ observations","10.7265/N52R3PMC","springer"
"10.1007/s00704-014-1185-0","Characteristics of the Tibetan Plateau snow cover variations based on daily data during 1997–2011","10.7265/N52R3PMC","springer"
"10.1038/s41467-022-29458-3","Double ridge formation over shallow water sills on Jupiter’s moon Europa","10.18739/A2H12V80V","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2H12V80V","springer"
"10.1038/s41467-021-26229-4","Increased variability in Greenland Ice Sheet runoff from satellite observations","10.5067/OC7B04ZM9G6Q","springer"
"10.1007/s10530-021-02712-3","Flight plan for the future: floatplane pilots and researchers team up to predict invasive species dispersal in Alaska","10.18739/A29S1KM2B","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2X911","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2S569","springer"
"10.1007/978-3-030-50930-9_13","River Ice Processes and Changes Across the Northern Regions","10.18739/A2PW9R","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2233Z","springer"
"10.1038/s41467-022-31219-1","Groundwater discharge as a driver of methane emissions from Arctic lakes","10.18739/A2C824F9X","springer"
"10.1038/s41597-020-0444-4","Harmonized global maps of above and belowground biomass carbon density in the year 2010","10.3334/ORNLDAAC/1565","springer"
"10.1186/s40462-021-00276-4","Quantifying effects of snow depth on caribou winter range selection and movement in Arctic Alaska","10.18739/A2WM13V3Q","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2ZC7RV70","springer"
"10.1038/s41467-022-31182-x","Annual cycle observations of aerosols capable of ice formation in central Arctic clouds","10.18739/A2VM42Z5F","springer"
"10.1038/s41467-022-31182-x","Annual cycle observations of aerosols capable of ice formation in central Arctic clouds","10.18739/A2CJ87M7G","springer"
"10.1007/s10530-021-02712-3","Flight plan for the future: floatplane pilots and researchers team up to predict invasive species dispersal in Alaska","10.18739/A2N29P76G","springer"
"10.1038/s41467-020-18479-5","Summer warming explains widespread but not uniform greening in the Arctic tundra biome","10.18739/A28Q18","springer"
"10.1038/s41558-019-0688-1","Complexity revealed in the greening of the Arctic","10.18739/A28Q18","springer"
"10.1007/s10021-022-00752-x","Goose Feces Effects on Subarctic Soil Nitrogen Availability and Greenhouse Gas Fluxes","10.18739/A22274","springer"
"10.1007/s00248-021-01733-8","Herbivory changes soil microbial communities and greenhouse gas fluxes in a high-latitude wetland","10.18739/A22274","springer"
"10.1007/s10021-019-00472-9","Early Goose Arrival Increases Soil Nitrogen Availability More Than an Advancing Spring in Coastal Western Alaska","10.18739/A22274","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A25S6X","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2TV7W","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A26M3340D","springer"
"10.1038/s41467-022-29458-3","Double ridge formation over shallow water sills on Jupiter’s moon Europa","10.18739/A2ZS2KD0Z","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2ZS2KD0Z","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2833N00P","springer"
"10.1007/s00376-021-1011-4","The Impact of Tibetan Plateau Snow Cover on the Summer Temperature in Central Asia","10.7289/V5N014G9","springer"
"10.1007/s00382-021-06035-w","Interdecadal change in the effect of Tibetan Plateau snow cover on spring precipitation over Eastern China around the early 1990s","10.7289/V5N014G9","springer"
"10.1007/s00382-022-06254-9","Predictability of the two temperature modes of the East Asian winter monsoon in the NCEP-CFSv2 and MRI-CPSv2 models","10.7289/V5N014G9","springer"
"10.1007/s10584-021-03057-5","Indicators of climate change impacts on the water cycle and water management","10.7289/V5N014G9","springer"
"10.1007/s00382-020-05497-8","Influence of Tibetan Plateau autumn snow cover on interannual variations in spring precipitation over southern China","10.7289/V5N014G9","springer"
"10.1007/s10533-020-00717-z","Growing season soil warming may counteract trend of nitrogen oligotrophication in a northern hardwood forest","10.7289/V5N014G9","springer"
"10.1007/s00382-020-05222-5","Modeling of aerosol induced snow albedo feedbacks over the Himalayas and its implications on regional climate","10.7289/V5N014G9","springer"
"10.1007/s00382-019-04915-w","Weak linkage of winter surface air temperature over Northeast Asia with East Asian winter monsoon during 1993–2003","10.7289/V5N014G9","springer"
"10.1007/s00382-019-04853-7","Possible impact of North Atlantic warming on the decadal change in the dominant modes of winter Eurasian snow water equivalent during 1979–2015","10.7289/V5N014G9","springer"
"10.1007/s00382-018-4138-y","How autumn Eurasian snow anomalies affect east asian winter monsoon: a numerical study","10.7289/V5N014G9","springer"
"10.1007/s00704-017-2363-7","A skilful prediction scheme for West China autumn precipitation","10.7289/V5N014G9","springer"
"10.1007/s00382-016-3307-0","Drivers and potential predictability of summer time North Atlantic polar front jet variability","10.7289/V5N014G9","springer"
"10.1007/s00382-016-3089-4","Eurasian snow cover variability in relation to warming trend and Arctic Oscillation","10.7289/V5N014G9","springer"
"10.1038/s41598-022-15662-0","Diurnal and semidiurnal internal waves on the southern slope of the Yermak Plateau","10.18739/A21R6N14K","springer"
"10.1007/s13131-021-1825-z","Oceanic vertical mixing of the lower halocline water in the Chukchi Borderland and Mendeleyev Ridge","10.18739/A21R6N14K","springer"
"10.1007/s00382-022-06260-x","Southern Ocean sea ice concentration budgets of five ocean-sea ice reanalyses","10.5067/7Q8HCCWS4I0R","springer"
"10.1007/s00382-021-05878-7","Impacts of strong wind events on sea ice and water mass properties in Antarctic coastal polynyas","10.5067/7Q8HCCWS4I0R","springer"
"10.1007/s00376-020-0006-x","Simulation and Improvements of Oceanic Circulation and Sea Ice by the Coupled Climate System Model FGOALS-f3-L","10.5067/7Q8HCCWS4I0R","springer"
"10.1007/s13131-020-1629-6","Role of atmospheric factors in forcing Arctic sea ice variability","10.5067/7Q8HCCWS4I0R","springer"
"10.1007/s13131-020-1595-z","Using a skillful statistical model to predict September sea ice covering Arctic shipping routes","10.5067/7Q8HCCWS4I0R","springer"
"10.1038/s43247-020-0010-1","Return to rapid ice loss in Greenland and record loss in 2019 detected by the GRACE-FO satellites","10.5067/GFL20-MC060","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2RR77","springer"
"10.1007/s00442-021-05005-7","The relationship of C and N stable isotopes to high-latitude moss-associated N_2 fixation","10.18739/A2QV3C475","springer"
"10.1007/s10021-020-00534-3","Host Identity as a Driver of Moss-Associated N_2 Fixation Rates in Alaska","10.18739/A2QV3C475","springer"
"10.1038/s41467-020-17790-5","Labile carbon limits late winter microbial activity near Arctic treeline","10.18739/A2V40K067","springer"
"10.1038/s41558-022-01327-3","The critical benefits of snowpack insulation and snowmelt for winter wheat productivity","10.5067/W9FOYWH0EQZ3","springer"
"10.1038/s41598-022-06320-6","Compound changes in temperature and snow depth lead to asymmetric and nonlinear responses in landscape freeze–thaw","10.5067/W9FOYWH0EQZ3","springer"
"10.1007/s10584-021-03294-8","Projections of North American snow from NA-CORDEX and their uncertainties, with a focus on model resolution","10.5067/W9FOYWH0EQZ3","springer"
"10.1007/s00382-019-04966-z","Modeling study of the impact of complex terrain on the surface energy and hydrology over the Tibetan Plateau","10.5067/W9FOYWH0EQZ3","springer"
"10.1007/s00704-016-2020-6","Impact of the snow cover scheme on snow distribution and energy budget modeling over the Tibetan Plateau","10.5067/W9FOYWH0EQZ3","springer"
"10.1007/s00704-016-1860-4","Impact of absorbing aerosol deposition on snow albedo reduction over the southern Tibetan plateau based on satellite observations","10.5067/W9FOYWH0EQZ3","springer"
"10.1007/s10336-019-01725-z","Movements of three alcid species breeding sympatrically in Saint Pierre and Miquelon, northwestern Atlantic Ocean","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1007/978-3-030-39847-7_25","El Niño (2014–2016) and La Niña (2010–2012): Their Impacts on Water Cycle Components","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1134/S1063074019040059","Use of Satellite Data for the Estimation of the Specific Growth Rate of Phytoplankton in the Surface Layer of the Black Sea","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1007/978-3-030-11533-3_12","Analytical Estimation of Pollutants Transported by Wind Currents in the Shallow Sea","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1007/s10236-018-1208-y","Mesoscale dynamics and walleye pollock catches in the Navarin Canyon area of the Bering Sea","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1134/S1028334X18070267","Studies of Particulate Matter Distribution by Aqua Modis Data and Simulation Results","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1038/srep44586","Mass coral mortality under local amplification of 2 °C ocean warming","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1038/srep27234","Glacial melting: an overlooked threat to Antarctic krill","10.5067/AQUA/MODIS_OC.2014.0","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2RS9B","springer"
"10.1038/nature22340","Isotopic evidence of multiple controls on atmospheric oxidants over climate transitions","10.18739/A23T0C","springer"
"10.1007/s11802-022-4903-8","Polar Sea Ice Identification and Classification Based on HY-2A/SCAT Data","10.5067/UTAV7490FEPB","springer"
"10.1038/s43247-021-00197-5","Accelerated sea ice loss in the Wandel Sea points to a change in the Arctic’s Last Ice Area","10.5067/UTAV7490FEPB","springer"
"10.1007/s00376-020-0213-5","Assessment of Snow Depth over Arctic Sea Ice in CMIP6 Models Using Satellite Data","10.5067/UTAV7490FEPB","springer"
"10.1038/s41558-020-0905-y","Phytoplankton dynamics in a changing Arctic Ocean","10.5067/UTAV7490FEPB","springer"
"10.1186/s40462-021-00276-4","Quantifying effects of snow depth on caribou winter range selection and movement in Arctic Alaska","10.18739/A2MS3K24P","springer"
"10.1007/s00442-021-04890-2","Spatiotemporally variable snow properties drive habitat use of an Arctic mesopredator","10.18739/A2MS3K24P","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2736M33W","springer"
"10.1007/s11111-016-0259-6","Climigration? Population and climate change in Arctic Alaska","10.5065/D6930R6J","springer"
"10.1007/s13280-019-01295-7","Hitchhikers on floats to Arctic freshwater: Private aviation and recreation loss from aquatic invasion","10.18739/A2M32N95V","springer"
"10.1007/978-3-030-89312-5_1","(Research): Introduction: Building Common Interests with Informed Decisionmaking for Sustainability","10.18739/A24746S61","springer"
